iter	Passed	Remaining
687	4007	1817
688	4016	1813
689	4023	1807
690	4031	1802
691	4039	1798
692	4042	1790
693	4049	1785
694	4056	1780
695	4062	1774
696	4070	1769
697	4076	1763
698	4081	1757
699	4087	1751
700	4093	1746
701	4098	1740
702	4104	1734
703	4110	1728
704	4117	1722
705	4124	1717
706	4126	1710
707	4132	1704
708	4137	1698
709	4138	1690
710	4144	1684
711	4150	1678
712	4155	1672
713	4161	1666
714	4169	1661
715	4176	1656
716	4182	1650
717	4189	1645
718	4196	1640
719	4203	1634
720	4210	1629
721	4217	1624
722	4225	1618
723	4232	1613
724	4239	1608
725	4246	1602
726	4254	1597
727	4260	1591
728	4266	1585
729	4272	1580
730	4278	1574
731	4284	1568
732	4289	1562
733	4295	1556
734	4302	1551
735	4310	1546
736	4317	1540
737	4325	1535
738	4332	1529
739	4339	1524
740	4346	1519
741	4352	1513
742	4359	1507
743	4365	1502
744	4373	1496
745	4380	1491
746	4387	1485
747	4394	1480
748	4401	1475
749	4407	1469
750	4413	1463
751	4419	1457
752	4427	1452
753	4434	1446
754	4440	1440
755	4445	1434
756	4451	1428
757	4456	1422
758	4462	1416
759	4468	1411
760	4474	1405
761	4481	1399
762	4490	1394
763	4497	1389
764	4506	1384
765	4512	1378
766	4519	1373
767	4527	1367
768	4535	1362
769	4541	1356
770	4547	1350
771	4552	1344
772	4558	1338
773	4564	1332
774	4570	1326
775	4575	1320
776	4581	1314
777	4586	1308
778	4592	1302
779	4598	1297
780	4604	1291
781	4610	1285
782	4618	1280
783	4624	1274
784	4630	1268
785	4635	1262
786	4642	1256
787	4648	1250
788	4654	1244
789	4660	1238
790	4666	1232
791	4671	1226
792	4677	1220
793	4682	1214
794	4688	1209
795	4694	1203
796	4700	1197
797	4707	1191
798	4713	1185
799	4719	1179
800	4726	1174
801	4732	1168
802	4739	1162
803	4745	1156
804	4751	1151
805	4761	1146
806	4772	1141
807	4797	1140
808	4810	1135
809	4818	1130
810	4828	1125
811	4833	1119
812	4842	1113
813	4849	1108
814	4855	1102
815	4861	1096
816	4867	1090
817	4874	1084
818	4880	1078
819	4886	1072
820	4893	1066
821	4898	1060
822	4904	1054
823	4910	1048
824	4915	1042
825	4922	1037
826	4930	1031
827	4937	1025
828	4944	1019
829	4952	1014
830	4961	1008
831	4972	1004
832	4980	998
833	4987	992
834	4995	987
835	5001	981
836	5009	975
837	5018	970
838	5028	964
839	5035	959
840	5042	953
841	5048	947
842	5056	941
843	5063	935
844	5070	930
845	5078	924
846	5085	918
847	5093	912
848	5099	906
849	5108	901
850	5114	895
851	5121	889
852	5128	883
853	5134	877
854	5142	872
855	5150	866
856	5157	860
857	5166	855
858	5177	849
859	5184	844
860	5191	838
861	5197	832
862	5204	826
863	5212	820
864	5219	814
865	5226	808
866	5233	802
867	5239	796
868	5245	790
869	5252	784
870	5258	778
871	5265	772
872	5271	766
873	5277	760
874	5281	754
875	5288	748
876	5296	742
877	5303	736
878	5310	731
879	5317	725
880	5324	719
881	5331	713
882	5337	707
883	5345	701
884	5351	695
885	5359	689
886	5366	683
887	5372	677
888	5379	671
889	5387	665
890	5394	659
891	5401	654
892	5409	648
893	5417	642
894	5424	636
895	5431	630
896	5438	624
897	5444	618
898	5450	612
899	5457	606
900	5464	600
901	5470	594
902	5477	588
903	5484	582
904	5493	576
905	5500	570
906	5507	564
907	5515	558
908	5521	552
909	5527	546
910	5534	540
911	5542	534
912	5549	528
913	5572	524
914	5604	520
915	5640	517
916	5654	511
917	5677	507
918	5751	506
919	5773	502
920	5817	499
921	5860	495
922	5900	492
923	5925	487
924	5962	483
925	5977	477
926	5996	472
927	6050	469
928	6057	462
929	6064	456
930	6072	450
931	6080	443
932	6087	437
933	6095	430
934	6104	424
935	6111	417
936	6118	411
937	6125	404
938	6132	398
939	6141	392
940	6149	385
941	6157	379
942	6165	372
943	6173	366
944	6180	359
945	6189	353
946	6197	346
947	6203	340
948	6210	333
949	6217	327
950	6226	320
951	6228	314
952	6238	307
953	6245	301
954	6253	294
955	6262	288
956	6270	281
957	6279	275
958	6287	268
959	6294	262
960	6303	255
961	6311	249
962	6320	242
963	6327	236
964	6335	229
965	6343	223
966	6350	216
967	6357	210
968	6366	203
969	6374	197
970	6383	190
971	6390	184
972	6397	177
973	6405	170
974	6413	164
975	6422	157
976	6429	151
977	6437	144
978	6446	138
979	6454	131
980	6463	125
981	6471	118
982	6478	112
983	6485	105
984	6494	98
985	6501	92
986	6508	85
987	6515	79
988	6523	72
989	6531	65
990	6538	59
991	6547	52
992	6554	46
993	6561	39
994	6569	33
995	6578	26
996	6586	19
997	6595	13
998	6603	6
999	6611	0
